Dimension,Small Cleaned,Dim Cleaned,Model,K,Accuracy,Var Accuracy,Top-5 Accuracy,Var Top-5 Accuracy,Top-10 Accuracy,Var Top-10 Accuracy,Loss,Var Loss
20,True,True,Classifier,0,0.318043391,2.75E-05,0.631867524,0.000182328,0.753568034,0.000117808,2.751395607,0.002833193
20,False,True,Classifier,0,0.305478088,3.97E-05,0.591533865,5.87E-05,0.714641434,2.54E-05,2.974455595,0.000377608
20,True,False,Classifier,0,0.299544097,0.000192675,0.588489215,8.30E-05,0.717004921,6.01E-05,2.895441294,0.002069086
40,True,True,Classifier,0,0.294308051,8.79E-05,0.604529151,3.65E-05,0.739133778,0.000118988,2.778213406,0.00232342
0,True,False,Classifier,0,0.289064752,0.000203783,0.554927788,0.000358241,0.666431476,0.000151561,3.226348209,0.006183364
40,False,True,Classifier,0,0.281673307,3.24E-05,0.58001328,3.25E-05,0.716998672,2.85E-05,2.933048868,0.000602356
20,False,False,Classifier,0,0.280378486,6.02E-05,0.566334661,6.76E-05,0.692231076,1.88E-05,3.065081882,1.55E-05
40,True,False,Classifier,0,0.260236487,8.98E-05,0.556856516,0.000124852,0.698471307,7.71E-05,2.989411497,0.002706541
40,False,False,Classifier,0,0.257768924,3.76E-05,0.545551129,8.67E-05,0.683864542,7.09E-05,3.062056375,0.001126431
0,False,False,Classifier,0,0.255577689,0.000178013,0.497808765,0.000118014,0.616533865,6.94E-05,3.533653688,0.003310961
80,True,True,Classifier,0,0.246831733,3.16E-05,0.549539325,1.34E-05,0.696181822,2.84E-05,2.941540893,0.000803526
80,False,True,Classifier,0,0.244302789,2.20E-05,0.538844622,1.85E-05,0.681713147,5.34E-05,3.040725517,0.002217099
80,True,False,Classifier,0,0.218317887,5.20E-06,0.502633465,1.63E-05,0.648905702,2.72E-05,3.166904052,0.001091399
80,False,False,Classifier,0,0.216374502,2.46E-05,0.497250996,7.20E-05,0.643386454,6.71E-05,3.197525962,0.001226673
80,True,True,One Layer,0,0.164252982,5.37E-05,0.420630778,0.000131843,0.563940551,0.000167224,3.617132489,0.001806297
80,False,True,One Layer,0,0.163067729,3.07E-05,0.414820717,9.69E-05,0.558525896,0.000149702,3.676438347,0.001239543
80,True,False,One Layer,0,0.144297004,2.51E-05,0.384669169,1.49E-05,0.526497622,7.37E-05,3.771908458,0.000718507
80,False,False,One Layer,0,0.136414343,1.92E-05,0.371354582,3.15E-05,0.514063745,1.63E-05,3.846771638,6.91E-05
40,True,True,One Layer,0,0.132641903,4.73E-05,0.355861083,6.72E-05,0.502313846,0.000107853,3.918930745,0.001358332
40,False,True,One Layer,0,0.114209827,1.50E-05,0.325232404,0.000214661,0.463612218,0.000282782,4.097640824,0.002301861
40,True,False,One Layer,0,0.11224134,9.73E-05,0.315059736,9.26E-05,0.455902942,0.000214455,4.073322296,0.001349333
40,False,False,One Layer,0,0.103851262,5.42E-05,0.305179283,8.37E-05,0.439575033,0.000158243,4.165676165,0.001207461
20,True,True,One Layer,0,0.040459802,3.37E-05,0.155885011,0.000191727,0.26081777,0.000304331,4.67231617,0.001492318
20,False,False,One Layer,0,0.039043825,2.13E-05,0.154681275,0.00010601,0.253685259,0.00012724,4.749334621,0.002566001
20,True,False,One Layer,0,0.035807234,9.42E-06,0.143769711,0.000117632,0.251949515,0.000352655,4.72218399,0.002060358
20,False,True,One Layer,0,0.032868526,2.63E-05,0.136354582,0.000246068,0.234760956,0.000270293,4.804694271,0.001655798
0,False,False,One layer,0,0.012948207,2.78E-06,0.055577689,3.71E-05,0.102589641,0.000149998,5.347026062,0.000574311
0,True,False,One layer,0,0.011128747,3.35E-05,0.04664096,0.000184396,0.090679772,0.000809959,5.3625741,0.006954783
