Contamination,Cleaning Type,Accuracy@5,Accuracy@10,Accuracy@50,Accuracy@100,Accuracy@150,Total Files,Clean Files,Rejected Files
0.05,Global,0.17083541770885444,0.19968317492079374,0.21960980490245122,0.216274804068701,0.2092713023178256,5020,4769,"189    train_008944.jpg
Name: File, dtype: object"
0.05,By Class,0.17100216775054194,0.20185092546273137,0.22052693013173252,0.2153576788394197,0.21302317825579456,5020,4769,"189    train_008944.jpg
Name: File, dtype: object"
0.1,Global,0.16825079206269802,0.19701517425379356,0.21494080373520094,0.20752042688010672,0.20226780056695015,5020,4518,"189    train_008944.jpg
194    train_009120.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.1,By Class,0.16850091712522927,0.19926629981657495,0.2170251792562948,0.21093880273470067,0.20835417708854428,5020,4518,"189    train_008944.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.2,Global,0.163831915957979,0.19109554777388693,0.20518592629648158,0.19543104885776222,0.18792729698182425,5020,4016,"185    train_008865.jpg
186    train_008867.jpg
189    train_008944.jpg
191    train_009039.jpg
192    train_009045.jpg
194    train_009120.jpg
195    train_009132.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
0.2,By Class,0.16599966649991663,0.1949307987326997,0.21102217775554444,0.20368517592129398,0.19993329998332499,5020,4016,"186    train_008867.jpg
189    train_008944.jpg
194    train_009120.jpg
197    train_009143.jpg
Name: File, dtype: object"
auto,Global,0.16316491579122894,0.19234617308654328,0.21052192763048191,0.19926629981657495,0.19159579789894948,5020,4127,"185    train_008865.jpg
186    train_008867.jpg
189    train_008944.jpg
191    train_009039.jpg
192    train_009045.jpg
194    train_009120.jpg
195    train_009132.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
auto,By Class,0.16008004002001,0.18642654660663666,0.19851592462898116,0.1910121727530432,0.18192429548107386,5020,3365,"184    train_008838.jpg
186    train_008867.jpg
189    train_008944.jpg
194    train_009120.jpg
195    train_009132.jpg
196    train_009140.jpg
197    train_009143.jpg
Name: File, dtype: object"
